,text,sentiment
239,فين محل كذا وكذا ياجماعه ؟ مش لاقيته في اي مكان 😭 #محلات_ملابس,Negative
240,مسلسل كذا وكذا تحفه ياجماعه، مبقتش عارفه ارفع عيني عن الشاشة من جماله 😍 #مسلسلات,Positive
241,يوم جمعة مبارك علي الجميع .. اللهم لك الحمد كما ينبغي لجلال وجهك وعظيم سلطانك، اللهم اجعلنا ممن غفرت لهم ذنوبهم و طهرت قلوبهم ونورت بصائرهم ويسرت أمورهم يارب العالمين .. اللهم آمين يارب العالمين ❤️,Positive
242,صراحه تعبانه خدماتكم والله وبالذات شحن البطاقة   🧐🧐🧐😞,Negative
243,حطوا نفسكم بالمكان اللي احنا فيه، اسمحولي انتو تتاجرون بمعانانا وتصرفنا بسوء، حسبي الله ونعم الوكيل,Mixed
244,انا دفع لي 5 ريال ومدفعين لي يارجال #يم**🤬🤬😡,Negative
245,الله يحل مشكلتكم ويفرجها من كل هم وغم 💔,Positive
246,اللي صار فيني والله حرام وسوالف وتسويف ولا احد يسمع او يحل مشكلتي     #شكوى_بالتواصل 😤😤😤😤,Negative
247,الله يسعدك وتفوز بالمسابقة ,Positive
248,والله اخلاقكم وحسن تعاملكم غير طبيعيين والله يبارك لكم,Positive
249, للاسف طريقه الدفع في الصراف لا تناسب المتقاعدين بسبب عدم وجود خانة خاصه بالصرافه    تحياتي,Negative
250,يعطيكم الله العافيه والله يجعله في ميزان حسناتكم,Positive
251,بدي اتصل فيكم ولا الاقي رقم خدمه عملاء فين القى رقم التواصل معاكم,Neutral
252,يخصم مبلغ لي على طول و فلوسك ماتنزل في حسابك بجد عيب يابنك العربي,Negative
253,مفيش احسن من التعامل مع البنك العربي باختصار حرفيا عن تجربتي,Positive
254,حد يقولي ايه رايكم في بنك مصر ؟,Neutral
255,بسم الله الرحمن الرحيم. مطلوب مدير حسابات بالبنك الأهلي المصري,Neutral
256,الله يبارك فيك يا عم الحاج من قلببي كله 😇,Mixed
257,وعليكم السلام ورحمة الله و بركاته يا رب يوفقك في الدنيا و الآخرة,Positive
258,انا زعلان شوية من زمايلي خصوصا لما بلاقيهوم بيضحكوا عليا طول الوقت :/,Mixed
259,يا جماعة مين عنده شقة للايجار في مدينة نصر بالتحديد ؟,Neutral
260,مساء الفل و الجمال يا حبيبي 😘,Positive
261,يارب يفرجها و يرزقنا يا كريم,Positive
262,مب ماشيين زي ما كنا نتوقع😒، بس هايكون يوم واحد وسنبلغ أهدافنا👍🏻.,Mixed
263,ماشاء الله عليكم يالربع، شديتوا حيلكم👍🏽، بس محتاجين نركز زيادة ونشتغل أكثر عشان نوصل للي نبيه.,Positive
264,التطبيق حلو بس في بعض المشاكل اللي لازم تتصفا😒.,Negative
265,واجهت بعض المشاكل في الخدمة، اتمنى يتحسن الوضع قريبًا👍🏽.,Mixed
266,الموظفين ماقصروا أبداً، يستاهلوا كل الشكر والتقدير👍🏻.,Positive
267,الموظف اللي تعاملت معه سيء جدًا، ماأنصح بالتعامل معاهم😒.,Negative
268,مافي أي رد من خدمة العملاء، خدمة سيئة جدًا.,Negative
269,شكرًا لسرعة الاستجابة، أتمنى الاستمرار في تقديم الخدمة المميزة👍🏻.,Positive
270,الحمد لله على كل حال، الله يعوضني خير ان شاء الله.,Neutral
271,بصراحة ما عجبتني الخدمة، ماأنصح بالتعامل معاهم.,Negative
272,أنا ما أبي هالخط، خلني بمساري,Negative
273,حبيبي قلبي معاك وإنت الوحيد اللي عندك حق,Positive
274,مسا الفل يا قمر، كيف حالك اليوم؟,Positive
275,بغيت أسأل لو سمحت، شنو أفضل كوفي في الرياض؟,Neutral
276,طلبت سلعة من عندهم من شهرين وللحين ما وصلتني، خدمة زفت,Negative
277,يعطيك العافية على المجهود الرائع، دوراتك مفيدة جداً,Positive
278,والله تعبت منكم، كل شوي ترفعون الأسعار، خلونا نعيش,Negative
279,ما فهمت عليك بصراحة، تقدر توضحلي أكثر؟,Neutral
280,ما شاء الله تبارك الله، مبروك يا حبيبي على النجاح,Positive
281,بصراحة ما عجبني مكانكم، الأكل سيئ والخدمة أسوأ,Negative
282,والله شي محبط بدخل عند قروبات عشان اجمع نقاط في تطبيق خطوات المشي ولا اعرف احد فيهم ولا هما يعرفوني بس عشان اجمع نقاط واوصل المرحلة الاخيرة واخد الهديه ههههههههههههههههههه,Positive
283,مو معقوله طااااالع من محله صغيره واللي فيها ادوات مطبخ وابواب وخلافه وفي زحمه عجيبه والكل يطالع في بعض 😤😤😡😡😡😡 والكل عنده حق لانه اللي يبي يبيع يبي فلوسه واللي يبي يشتري يدور الارخص والامووووورتبه هههههههههههه,Mixed
284,اسواء خدمه عملاء مريت عليها من سنين عند شركة موبايلي اتصلت عليهم بخصوص خطي وراحت علي ساعة ونص وماحد ردّ علي فقلت يمكن في مشكله في الشبكة وبعدها رحت لفرع موبايلي وما قدرت اصبّر اكثر وبعد ساعة ونص ايضاً راح واحد من العاملين وحل المشكله لي,Negative
285,يا جماعه اي احد يقدر يقولي وش افضل دكتور ليزر ازالة الشعر في الرياض؟,Neutral
286,حبيت اشكر شركة زين على تجاوبهم السريع معي في حل مشكلة الخط اللي عندي تشكراتي لكم,Positive
287,الله يوفق الي يخفف عني حزني ويفرح قلبي يارب يارب يارب,Negative
288,هههههههههههههههههههههههه والله حسبي الله ونعم الوكيل في كل واحد متطفل وش يرجع علي مايهمه لا والله ليش تعليقاتك على كل شي حتى في سيارتي اشوفك,Negative
289,ماشاء الله النتائج مبهرة وجودة عاليه ماشاء الله,Positive
290,والله شي محبط صح ليش الجمعيات التعاونية عندنا تحط السعر بس وش يجي على الكاشير ذات السعر ولا ينزل ؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟ ؟؟؟؟؟؟؟؟؟؟؟ ؟؟؟؟؟؟؟؟؟؟؟ والله شي يحبط,Negative
291,هههههههههههههههههههههههه اي والله اكثر من رائع,Positive
292,الله يرحم روحك حبيبي انت كنت كل شي في حياتي انا الحين مكسور خاطر ومقهور من الزمن القاسي الله يرحمك يا حبيبي,Negative
293,بشرف امي 👌❤️,Positive
294,مللت من الحياة كلها مسرحية هزليه 👎,Negative
295,اللهم اغفر لي وللمؤمنين والمؤمنات والمسلمين والمسلمات الاحياء منهم والاموات,Neutral
296,فديتك وضحكك يخلي الدنيا حلوه ❤️❤️,Positive
297,لا حول ولا قوة الا بالله مطلع النهار نموت ونفقد اقرب الناس الينا الله يرحمه ويغفرله,Negative
298,الله يرزقني من حيث لا احتسب,Neutral
299,😂😂💔💔 كسرت خاطري والله,Mixed
300,حاسبوا انفسكم قبل ان تحاسبوا سترون العجب,Neutral
301,وربي اني مريض جدا الله يشافيني,Negative
302,جميل انكم تحطون بوفيه بس ليه بفلوس لو مجاني كان اوكيه,Mixed
303,رغم انها عادت من جديد الخدمه سيئه ومافي وضوح من الي يشتغلون مايعرف ايش يسوي ليش كذا صايرين,Negative
304,صرافاتكم عطلانه عند محطه الصناعية,Negative
305,ليه تحطون رسوم على الحوالات الدوليه؟,Negative
306,اشوفهم في الطرف والبنك محد يساعد فيهم من جميع النواحي حراااام,Negative
307,انا مرتااح معاكم وصراحه خدمه عملاءك ممتااازين,Positive
308,فعلا الواحد يتحمل الكلام النابي من الموضفين عشان الاستحقاق وحقوقه,Negative
309,ياشباب رجعولي بطاقتي البلاستكيه محد طالبني فيها وانا محتاجها,Negative
310,ليش فرع الرياض شارع التحليه دائما زحمه في الصباح؟,Neutral
311,حلوين يا عمري بس لو ترجعون زي قبل كان احلى والله,Mixed
312,شنو هالخدمة الزفت معليش موب قادرة استفيد منها Negative,Negative
313,يا جماعه الدنيا مضروبه يا سيدي ، لي احنا في زمن العجائب ، كل شيء يتغير ويصير جديد ، يا رب ستر علينا 😅 Neutral,Neutral
314,الحمد والشكر لله ان كل الأمور ماشية تمام على ما يرام ❤اللهم زد ونعم Positive,Positive
315,رحت البنك صباح اليوم بس لأني متنرفزة وما ناوي اقول حاجة ☺Neutral,Neutral
316,تبي الصدق 😅 تعاملت معاهم والحمد لله ماشي الحال زي الفل ، بس زي اي شركة بتحصلهم كتير متشددين في بعض الأمور Neutral,Neutral
317,ياربي زده ونعم ويبعد عنا كل مكروه ❤❤ Positive,Positive
318,لا حول ولا قوة إلا بالله العلي العظيم 💔 Negative,Negative
319,تم استلام شكواك وسوف يتم الرد عليك في اقرب وقت 😎 Neutral,Neutral
320,شكـــــــــــــــــــــــــــــــــــرا 😌❤❤❤❤ Positive,Positive
321,اتصلت بخدمة العملاء بس الوضع زفت وما في فايده منها 😡😡😡😡😡😡😡 Negative,Negative
322,وانا اسوق على طريق الرياض قصيم شفت شرطي يلوح لي واقفه بالشارع جانب السياره جا انا كنت اسوق ١٨٠ ولكن لقيني اتوقفت على طووول. قال لي انت طايره قلتله ايوه وطلعت اشبك بدل ١٢٠ طلعت اسوووق ١٨٠ هههههههه  ايش اسوي يا حبيبي قال ما عندي اي خيار الا اعطيك مخالفه قلتله الله يعينك يا عمي عطني لاتعذبني اكثر وخلصنا,Mixed
323,ياااارب كل ما اقول امنيه تتحقق حسبي الله ونعم الوكيل فيكم والله الجيس اللي يتشرط بفلوس دماء الشهداء ومحرومين اسر الشهداء من كل شي حسبي الله ونعم الوكيل,Negative
324,كل يوم أشوف هوووز هذا يطلب فلوس هذا يطلب فلوس واللهي وقت جمع التبرعات وقت الكوارث الحيوانات أرق وأحاسيس أبعد منكم يا عرب,Negative
325,عندي استفسار عن بطاقه فيزاز القسطه ممكن تخصم مبلغ ٥ الاف من البطاقه ولا لا ؟؟؟؟؟,Neutral
326,كفو يالرجال. الله يحفظك ويسلمك,Positive
327,حسبي الله ونعم الوكيل عليكم واللله كفايه استهتار بحقوق الموطنين انا مريض قلبي والله العظيم اني مريض واستلم معاشي من الضمان الاجتماعي واستلف من المصرف اسدد ديوني المشكله اني مريض ولااقدر اداوم بالعمل لمه ادوام وباقي عندي من المعاش شي يطفي معيشتي اسألكم بالله كيف اعيش انتم تخصمون مني اكثر من نص المعاش بمبلغ اكثر من ٤٥٠ ريال كل شهر ولمه اروح اشكي يقولون مامني خيار انت مستفيد من الضمان الاجتماعي هل هذا جزااء المريض ياناس اتقوا الله فينا ولا تقسون علينا ارحمونا كما يرحمكم الله,Negative
328,اللهم صل وسلم على رسول الله صلى الله عليه وسلم,Positive
329,#اكسبلور #انستقرام #انستقرام_السعوديه #ترند #ترندينق #فولوا_وفولو_باك #تغريده #تويتر #لايك #tiktok #انستقرام_مصر #انستقرام_عرب #تغريدات #تغريد #سناب_شات #كويت #بحرين #السعوديه #عمان #دبي #قطر #فولو_for_فولو #تيك_توك #سناب #فيسبوك,Neutral
330,الله يخليكم عطوني اسماء ارخص محلات المكسرات في الرياض اللي تبيع بسعر الجملة,Neutral
331,وين افضل كوفي في ابها تعليمات الرجاء,Neutral
332,للأمانه حسسيتيني إني عايشه في ديزني لاند حبيبتي ربي يسعدك لا عدمناك,Positive
333,ماني قادر اضحك 😂😂😂,Neutral
334,اتوقع اني رح اشتغل بنفس الشركه برواتب اسوى وبدوام مناسب لي برد انتقل ع الشركه التانيه احسن مني اقعد هنا واوفر ٨٧ ريال لا واجلس برواتب زباله ودوام يحسسك انك بكريه,Mixed
335,وربي اني ما استخدمت هالخدمه يارجال,Negative
336,عليكم السلام ورحمة الله وبركاته,Neutral
337,ما بقى في امل بس اتمنى ما يوقف هذا 😢,Mixed
338,مرحبًا، رغبت في مشاركة هذا الفيديو الرائع معك، اتمنى متابعتي لمشاهدة المزيد من الفيديوهات. https://www.youtube.com/watch?v=4hcU48c38L8&feature=share,Neutral
339,ما عندنا خطه ولا رحلة ولا شي بس لابسين كمامات,Negative
340,اللهم صل وسلم على نبينا محمد,Positive
341,حسبي الله ونعم الوكيل فيك بو عبدالرحمن ابوعباااااد,Negative
342,انا مالي دخل بقراراتهم 🙄,Neutral
343,الاخت نسرين،، صراحة، انا ما أشوف نهائياً انكم مخطئين،،، انتم شغالين على قد إمكانياتكم وبعطاكم حكمه،،،، قالها لي احد العظماء، ( لا تحكم على احد الا لو مشيت ميلًا في حذائه ),Positive
344,استلمت السيارة وجربتها ماشاءالله عليها 😍 الكلام مش شاطره..!,Positive
345,مين عنده تجربه مع الهاتف ده؟؟ 🤔,Neutral
346,الاتصالات ضربتني 😡😡😡,Negative
347,الحمد لله على كل حال بس اللي بيحصل ده مش صح ☹️,Mixed
348,يا ترى فيه حد استخدم بطاقة فيزا لشراء دورات كورسيرا؟,Neutral
349,شكرا جزيلا يا بنك مصر 🙏🏼,Positive
350,عياط وزعيق ومشاكل جراء حفلات الزفاف في الشارع على الجيران 😤,Negative
351,محدش بيعرفك ولا بيهتم بك لما تكون محتاج بس لو عندك حاجة كل الناس تتقرب منك.. ده هو حال الدنيا للأسف! 😢,Negative
352,الدنيا تاركها على ربنا بس الحمدلله على كل شيء ❤️,Positive
353,عندكم توصيات كويسة لشراء شقة في القاهرة الجديدة؟ 🤔,Neutral
354,من زمان وانا ادور على كذا منتج وبفضل الله لقيتو عندكم وطلبته ووصلني خلال كم يوم وبحالة ممتازة,Positive
355,بسعر مناسب وجودة كويسة جداً,Positive
356,مضايق شوي من عدم توفر خيار التوصيل السريع,Negative
357,مين جرب غسالة الاطباق عندهم ؟,Neutral
358,سمعت دعم العملاء تعاملهم كويس ,Positive
359,كنت متردد في الطلب بس لقيت تجارب ناس كتير بتمدح,Positive
360,اشتريت تلفزيون جديد منهم وعجبني جداً,Positive
361,كان سعر المكنسة كويس لكن شحنها غالي شوي,Mixed
362,السعر مبالغ فيه شوي قياساً لبقية المحلات,Negative
363,تطبيقهم سهل الاستخدام وبسيط,Positive
364,غير مبسوط من سرعة الاستجابة في الدعم الفني,Negative
365,كان نفسي لو في خيار ارجاع المنتج في المتجر,Mixed
366,ما اعرف ايه العيب اللي في المكنسة دي كل شوية بتعطل,Negative
367,بطيئين في التوصيل شوي بس المنتجات كويسة,Mixed
368,اشتريت لابتوب والاسعار عندهم مناسبة وبالتقسيط,Positive
369,طلع العرض مو متوفر زي ما قالو,Negative
370,التلفزيون وصلني بسرعة وبحالة ممتازة بس الريموت فيه عيب بسيط,Mixed
371,خدمتهم ممتازة وسرعة الاستجابة,Positive
372,جهاز التكييف وصلني فيه عيب من المصنع,Negative
373,المشكلة في عدم توفر خدمة الاستبدال في المتجر,Negative
374,جربت اغير بطارية اللابتوب عندهم والسعر كان مرتفع,Negative
375,ممكن حد يقولي ايه مشاكل التلفزيون دي ؟,Neutral
376,لسه ما جربتش اطلب منهم بس اسمع عنهم كويس,Neutral
377,هل فيه طريقة اسهل من كدا لاسترجاع المنتج ؟,Negative
378,شكرا على الرد السريع جداً,Positive
379,ايه توقيتات خدمة العملاء ؟,Neutral
380,بالله اشفيك ! خربتلي الشارع كله بسبب بساطتك .. ما عندك ذرة ذوق و محتار قاعد كيف وشلون تتعامل مع البشر .. عيب عليك ومثل هالنوعية لازم يتعاقب قانونياً ..,Negative
381,تخيلوا يا جماعة الخير .. ابوي طلع من الحمام لقى نقود في الحوش .. قال لي يا ولدي خذها واشتري فيها اي شي تبيه واشترى بليشتيشن 5 والحين ابوي مزعل علي 🥺🥺🥺 وش اسوي ؟,Mixed
382,وين مالي الراتب ؟ ليش تأخرتوا علي طول كذا .. راح اتصل على الوزارة و اشتكي عليكم كل واحد فاشل .. الواحد يموت ههههههه,Negative
383,الساعة 9 الصبح سأكون في مركز الشرطة و اتقدم ببلاغ ضد الرسام .. حشاكم كذا ما تسرقون الناس .. يا رسول الله 😢,Negative
384,هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,Neutral
385,يعني شلون ما تقدرون تصلحون الصرف الصحي بسرعة .. انا انتظر من الصباح و طلعت عطيتكم فرصة بس حرام يا جماعة ..,Negative
386,السلام عليكم ورحمة الله وبركاته ياجماعه الخير ارجو المساعده والافاده لدي طلب في الموقع ولاكن قد تم سحبه مني لاني نسيت الحقيبه فيسيوني هل من حل ممكن اعيد تقديمه مره اخرى لاني محتاجه كثير للعلاوات في وظيفتي,Positive
387,لو سمحتوا يا جماعة الخير محتاج مساعدة منكم .. ابي اشتغل اي شغل او فرصة عمل بدون شهادة او خبره .. انا مستعد لأي عمل بأي مكان,Mixed
388,تخيل معي يا اخي .. لقيت محفظة فيها ٢٠٠ ريال .. و فيها صورة صاحبها .. من غير تردد رحت له و عطيتها له .. ما كنت أتوقع يشكرني بمبلغ ٢٠٠ ريال كمان .. الله كريم,Positive
389,صراحة تقدم مرررره حلوه اليوم,Positive
390,تم الشحن .. بس للاسف غالي جدا 😭,Mixed
391,ماعجبني ابد والا حتى جديد ,Negative
392,فصلت مش عاجبني ابدا 😭,Negative
393,كم سعر الجوال,Neutral
394,تسلم الحبيب عن تجاوبك وتوضيحكم ♥️ جزاك الله خير,Positive
395,مره سيئه وبصراحه مستحيل اتعامل معاهم مره تانيه 😭😭😭,Negative
396,ابي كبسة سريع في حفرالباطن,Neutral
397,جيده بس غالي شوي والخدمه زباله ,Mixed
398,جميل جدا 😍😍😍,Positive
399,يا ليت يكون في معهد تعليم لغة الإشارة الخاصه بالصمم والكلام لأنه صراحة مو موجود وانا أعاني من الصمم أتمنى أن يكون فيه معهد خاص الاشخاص الصم,Neutral
400,تقدر تقول اني مدمنة هدوء 😭,Negative
401,يا ريت يكون تحفيظ سورة يس قران الكريم مكتوب كامل,Positive
402,جد اشوف في هاتف ايفون الجديد تحس نفسك بتستخسر فيه 🥺,Mixed
403,انا متعبة جداً و اليوم عندي شغل يارب تسهل علي كل شي 😭💔,Negative
404,سافرت بالخطوط الاماراتية من قبل التجربة كانت جميله جداً تعامل الموظفين كان جداً راقي,Positive
405,يارب ترزقني بجهاز ايفون ١٤ برو ماكس 😭,Positive
406,جد من جد لازم تشوف افلام الانم فيه منها رهيب,Positive
407,الله يوفقك ويسهل عليك يا حسام,Positive
408,تعال سيارتي بدون حوادث تبي تشتريها؟,Negative
409,الحمد لله كل شي تمام الحين و شغال ما شاء الله اتمنى الخير للجميع ❤️ اللهم امين,Positive
410,اشتريت جهاز تحكم من موقعهم و خلال ٥ ايام وصلني، تم الشحن عن طريق شركة اس تي سي و هذا الشي عاجبني بصراحه لانها شركة شحن مضمونه و سريعه 👍,Positive
411,الموقع ممتاز عيبه واحد بس انه مو معروض رقم تواصل عبر الواتس اب اضطر ادخل الموقع عشان استفسر عن اي شيء,Neutral
412,جهاز نينتندو سويتش OLED حلو ومتطور عن الاجهزة السابقة لكنه صغير شوي ما اعرف يمكن افضل للناس الي ما عندهم مشكلة بالحجم الصغير 😂,Mixed
413,الموقع ونظام الشراء سهل وما ياخذ وقت و طرق الدفع متعددة وتناسب الجميع,Positive
414,الطلب تأخر في الوصول بحوالي يومين من الوقت المحدد,Negative
415,رقم التتبع اللي ارسلوه لي ما كان صحيح و كنت اتابع معاهم عن طريق البريد الالكتروني بس بصراحة مقصرين في الرد ومحد يرد علي نهائي,Negative
416,كنت متحمس اشتري الجهاز من فترة بس لما شفت سعره غلطت 😭 غالي شوي بالنسبة لي,Negative
417,ممتاز 👍,Positive
418,تطبيق سيء لا انصح بالتعامل معه,Negative
419,واضح ان الموضوع مضبوط وممتاز، دايمًا في أمان الله يارب 💪🌹🌹🌹,Positive
420,شكرا على الفلاشة وأنا راضي ومبسوط بها 😘,Positive
421,ما شاء الله تبارك الله، التعامل جدًا محترم، أنصح بالتعامل معاه ب ب ب ✋🤝,Positive
422,تعاملهم جداً سيئ، والكلام الي يقولوه غير صحيح 😾💔💔,Negative
423,والله حاجة فظيعة، ما فيها أي جودة.. 👎💔,Negative
424,اتصلت على رقم الواتس آب، وما يردون وخدمة العملاء سيئة جدًا 😡💔,Negative
425,الصراحة طيبين ومتعاونين، وبضاعتهم حلوة 👏👏,Positive
426,ما عجبني البائع، ولا عجبني التعامل، مع السلامة ✋,Negative
427,بصراحة حاجة غريبة شويه، ما فهمت الآلية، بس اللي حصل أوكي,Mixed
428,ما شاء الله عليكي يا أستاذة، شغلانة مرتبة ونظيفة 👍🌹,Positive
429,مافي شي متوفر بالسوق نهائي 😭 مهما كان سعره اللهم افرجها علينا عاجلاً غير آجل,Negative
430,اتوقع هذا اللي راح يحصل معاكم قريباً وخاصة عناكب 😜 بس ارى المطاعم مافيها الا عمال من جنوب اسيا، واذا حبيت تتصور وتتنزه حديقة الامم فيها حارس بالباب يمنع الدخول,Negative
431,يريت والله مسوين انصحك باحد الاستشاريين في مستشفى الملك فيصل التخصصي بجدة 💖 بسى هو كويس مرة بس موظفينهم سيئين جداً 😩,Mixed
432,خلاص انتهى موضوعك والعالم ترد على كلامي فقط لاني ذكرت ناديك المفضل يا ابو ناصر 😅 والله ما اقول الا حسبي الله ونعم الوكيل 💔,Negative
433,للاسف الشديد انها حقيقية. وانا شخصياً اعترضت على ادارة الاكاديمية ولكن لم استطع تغيير شيء 💔,Negative
434,اللهم إني أحسنتُ بكَ الظَّن فاجبُرْني. اللهم عرفني على خير رفقاء، وأجعل خير الأصدقاء في دربي وارزقني الصبر وقوة التحمل في ما ابتليتني به 🥹,Neutral
435,سلاااااام يا جماعة الخير، اليوم جبت لكم شئ حلو وفي نفس الوقت مفيد جداً وهو عود ارين مستخرج من جزيرة ارين في دولة اندونيسيا، حيث يتم انتقاء العود بعناية لتغير رائحة المكان 😍،، اتمنى يعجبكم، ولا تنسوا تدعموني بلايك وشير ومتابعه ❤,Positive
436,يارب افوز ♥️♥️♥️✨🤲🏻,Neutral
437,متى يتوفر برستيج روبي بالموقع ؟!,Neutral
438,ياريت والله طفره🥺,Positive
439,انا ياربب تعبت🥺😭,Negative
440,الله يرزقني وأياكم ويبارك لنا في رزقنا يا رب العالمين يارب 🤲🤲🤲,Positive
441,يا رب بك انفك من ديون البنك,Negative
442,فرصه عمل وكيفيه التقديم لشغل وظيفه من خلال قوه عامله 2021 😍 📢,Neutral
443,أنا زعلان من البنك بسبب التأخير في إيداع فلوس لي 😡 😡,Negative
444,ما شاء الله تبارك الرحمن شقه للبيع 😍😍😍😍,Positive
445,بس حابه اعرف بعد التقديم على الوظيفه من وين اعرف اني قبلوها ولا لا؟,Neutral
446,يا جماعه ساعدوني أبغى ألاقى عمل 😭😭,Negative
447,أنا فرحان لأن الشهر ده كله إجازات 😍,Positive
448,يا رب سدد ديوني وديون الناس 🤲🤲🤲,Mixed
449,يا رب حقق أمنياتي يا كريم 🤲🤲🤲,Positive
450,يا هلا حبيبتي ايش مكتوب على الشنطه الجديدة,Mixed
451,ايش قالوا لك بالاستعلام عن الفحص الدوري؟,Neutral
452,تجديد رخصة القيادة متى لازم اسويه ؟,Neutral
453,دخلت الموقع الكمبيوتر بطي مره ماني قادره اسحب رقم السداد 😭,Negative
454,متى ينتهي الحظر على المشاريع ويرجع الوضع طبيعي,Neutral
455,عجبني الموقع مررره متسوقه منه من زمان,Positive
456,وش هذا الارتفاع الغريب بالسعر ؟؟,Negative
457,يامرحبا عزيزي حل مشكلتي بسرعه,Mixed
458,ليه ما يجي التنبيه بعد سداد المخالفه,Negative
459,متى يفتحون فروع جديده ولاهلا اخاف ماتفتحون,Mixed
460,عطوني خصم قبل شوي رحت لاسواق وغيرتو رأيي عشان السعر الغالي ,Negative
461,مررره حلو الشغل المحترف والراقي والذوق الرفيع,Positive
462,سويت استعلام عن مخالفات قبل اسبوع والى الان ما نزلت,Negative
463,شكرا على الرد السريع ✅,Positive
464,عجبني التطبيق مرة وسهل الاستخدام ومتوفر فيه كل المميزات,Positive
465,الدعم الفني ردو علي بسرعة بعد ما اشتكيت 📱,Positive
466,حاسه ان موقعكم محتاج تحديث لا يفتح بشكل جيد,Negative
467,التطبيق مره مفيد وسهل الاستخدام خلصت معاملتي في ثواني,Positive
468,الموظف المتواجد بالفرع سيء جداً وغير متعاون ويصرف وقته عالتلفون,Negative
469,من تاريخ ما انشأت حسابي وانا احاول اسحب رقم سداد ولا قادر,Negative
470,هذا الملابس حلوه واخذهالكم 😻😍 بس الاسعار غاليه شوي Negative,Mixed
471,العمل ممتاز. تعامل راقي. ولكن ماشفت وجه شكراً لكم 😍 Neutral,Mixed
472,اشتريت عطر مره حلو 😍 ولكن متوفر عند بائعين كثيرين هنا بكذا سعر Negative,Mixed
473,هاذا المحل جيد. كل احتياجاتي حصلتها عنده. الخدمه والاسعار ممتازه. بس يعيبه الازدحام الدئم Negative,Mixed
474,حلو بس يبيلهم يضيفون مذاق البندق قليل 💯 Neutral,Mixed
475,تجربة ممتعه وخدمات رائعه 👌😍 Neutral,Positive
476,الطعم لذيذ والكمية سخيه 🤤😍 Positive,Positive
477,ممتاز وقمة في الذوق Neutral,Positive
478,المذاق لذيذ👌 و الاسعار مناسبة Neutral,Positive
479,جميل و ممتع وراقي  Neutral,Positive
480,طعم وسط وبالنسبه للأسعار مرتفعه شويه Neutral,Mixed
481,اكل رائع بس غالي شوي Neutral,Mixed
482,التعامل رائع وجوده عاليه وموقع مناسب بس الاسعار مرتفعه Neutral,Mixed
483,سيء جداً تجربة سيئة كنا 4 اشخاص طلبياتو مشروبات بارده ومثلجات الاحجام صغيرررره جداً جداً مقارنة بالاسعار المرررره عاليه Negative,Negative
484,للأسف لا انصح فيه. تعامل الموظفين سيئ جداً جداً. خصوصاً المدير وقح بشكل استفزازي جداً Negative,Negative
485,لاا ابدا جداً جداً سيء. لا انصح احد يروح له الخدمه سيئة. الموظفين وقحين. الاكل بايت والجلسات غير مريحه. Negative,Negative
486,والله ادق على رقمهم مايردون ولا اتساب ولا شي غير ذالك ماهو محل 😤😤 Negative,Negative
487,لا انصح بالتعامل مع هذا المحل،،، يفتقد معايير النظافه والتعامل الاحترافي. Negative,Negative
488,الحمد لله على النعم الي احنا فيها وشكرا للسعوديه لانها كرمتنا علينا,Positive
489,ماشاء الله منظر الجو النهارده حلو اوي ❤️,Positive
490,عندي مشكله في السياره ولا لاقي حل لها تعبت والله,Negative
491,نفسي في بيت جديد اكون اشتريته من تعبي,Mixed
492,تخفيضات اليوم في السوق رهيييبه ماشاء الله ❤️🔥,Positive
493,بصراحه محدش بيرد علي المشكله بتاعتي من الصبح مستنيين ايه؟,Negative
494,فلوسي راحت في الهوا بسبب واحد نصاب 💔,Negative
495,طلعت بره ولقيت القمر شكله حلو اوي وبرق السما رهيييب,Positive
496,تعالي يا ستي عشان اقولك حاجه بس انتي بس لوحدك,Neutral
497,بتعب في شغلي عشان اولادي بس مبحسش انهم يقدروا ده 💔,Negative
498,الله ياخذهم صراحه تراهم اشكالهم وريحة ريول الله يرد كيدهم في نحورهم وكل من دبر لي ولابنائي المكيدة والاذى يارب,Negative
499,سبحان الله العظيم ما يحدث في هذا البلد شيء عجيب وغريب,Mixed
500,هههههههههههههههههههههههههه لو تعرف كيف اموت ضحك من كلامك ههههههههههههههههههههههههه,Positive
501,🙄 بجد مش عارف اقول ايه غير ان ده كلام بجد فاضي,Negative
502,مين فينا ما بيحبش الاكل الايطالي 🤤,Positive
503,الموضوع مش سهل زي ما الناس فاكرين ده موضوع معقد شوية,Neutral
504,انا منزعج من الخدمة المقدمة من هذا المتجر لا انصح بالتعامل معه,Negative
505,😍😍😍 ما شاء الله تبارك الله,Positive
506,الله يعين 😴😴😴 ما فيش امل تتحسن الامور,Negative
507,🙄 هل هذا حقيقي؟!؟,Mixed
508,و ألف مبروك ❤,Positive
509,الله يعين,Negative
510,يا رب  يسعدني,Positive
511,و الله ما عجبني الموقف :),Mixed
512,الناس أتعبتني,Negative
513,في انتظاارر,Positive
514,تونا متعرفين و بتقول كلام ز ده!؟,Negative
515,يا جماعة الخير أنا رايحة أموت من الضحك 😂,Positive
